"Date","ChatGPT","Overleaf","Notion","Paperpile"
1,5,0,1,0
2,35,18,62,0
4,0,0,10,0
5,0,0,8,0
6,32,0,26,0
7,25,0,34,0
8,5,0,18,0
9,9,0,8,0
10,7,0,30,0
11,9,0,43,0
12,6,0,55,0
13,23,0,108,0
14,0,0,0,0
15,3,0,4,0
16,54,0,0,0
17,52,0,106,0
18,0,0,18,0
19,16,0,12,0
20,21,0,9,0
21,39,0,23,0
22,0,0,9,0
23,0,0,1,0
24,1,1,41,0
25,10,0,18,63
26,48,0,42,153
27,53,0,27,110
28,35,0,9,13
29,4,0,0,0
30,5,0,2,0
31,88,0,49,58
32,16,0,21,431
33,24,104,8,115
34,55,128,36,65
35,15,109,13,3
37,14,53,0,29
38,25,171,32,36
39,30,88,6,83
40,30,35,11,11
41,26,63,7,1
42,26,96,6,27
44,4,0,6,74
45,1,24,8,133
46,0,0,5,93
47,2,0,16,99
48,79,0,1,60
49,3,0,5,141
50,32,0,1,61
51,21,0,5,1
52,19,115,3,40
53,3,28,19,241
54,15,63,11,149
62,19,4,2,153
63,48,4,2,77
64,30,1,7,104
65,6,150,25,31
66,5,17,8,131
67,15,36,52,184
68,43,232,13,38
69,31,112,9,206
70,9,192,1,26
71,10,147,16,17
73,6,364,0,2
74,8,101,20,40
75,13,0,9,234
76,7,0,3,140
77,26,27,26,84
78,3,0,1,31
80,17,35,7,223
81,67,8,4,101
82,16,29,19,79
83,76,119,19,6
84,12,73,34,37
87,4,75,9,106
88,4,154,6,149
90,98,68,5,30
91,76,16,4,3
92,10,283,2,38
93,15,343,0,2
94,2,134,6,32
95,13,90,4,18
96,20,1,1,215
97,3,2,20,116
98,7,0,8,346
99,4,22,0,22
103,1,111,8,88
104,16,224,14,60
105,1,228,4,26
106,0,0,34,121
108,12,264,0,1
109,53,239,1,28
110,8,320,2,15
111,2,237,2,73
112,3,167,0,34
115,5,329,29,131
116,0,369,7,125
117,0,198,5,213
118,9,126,8,253
119,3,16,4,186
122,30,2,28,121
123,15,0,13,4
124,34,62,16,153
125,16,68,4,50
127,6,0,2,225
128,332,2,3,138
129,25,1,5,86
130,15,29,20,67
131,5,412,7,154
132,18,319,1,98
133,14,182,1,1
134,12,295,2,202
135,7,430,0,103
137,35,692,5,5
138,4,362,1,3
139,32,115,3,132
140,8,279,0,497
142,22,0,0,39
143,25,67,4,83
144,18,322,2,3
145,14,81,2,88
146,6,237,52,80
147,0,330,10,14
148,10,330,1,54
149,60,372,1,160
150,34,449,2,505
151,12,155,2,149
152,3,200,5,118
153,10,221,5,45
154,5,286,2,20
155,12,338,6,143
156,5,466,1,4
157,19,345,4,5
158,12,224,1,6
