"Date","Time","Expectancy","Value","Tracking","Planning","Effort","Focus","Help","Environment","Organising","Motivation","Anxiety","Enjoyment","Feedback","Metacognition","Exercise_last_2h","Avg_heartrate_last_2h","Stepcount_last_2h"
1,"10:30",5,8,10,4,9,5,6,9,3,7,3,8,2,7,0,42.8086612903226,0
1,"12:16",9,4,6,10,10,9,8,10,1,3,7,2,3,6,0,44.5769230769231,0
2,"22:02",7,8,9,9,9,4,4,2,1,5,8,7,2,5,0,62.6521739130435,261
4,"15:12",7,8,8,8,9,7,7,10,4,9,2,7,5,4,7,69.4462807692308,2027
5,"13:16",8,10,3,8,8,3,10,10,7,10,2,10,10,5,16,89.0833333333333,4084
5,"22:07",8,7,10,9,10,6,10,10,7,10,1,10,10,7,0,59.7727272727273,215
6,"12:31",8,9,8,7,6,7,9,10,4,8,3,6,9,6,13,85.3739060240964,3342
7,"09:58",7,8,9,9,10,6,7,9,3,10,3,8,8,6,0,40.8536585365854,16
8,"14:01",7,8,8,9,7,3,3,3,2,5,8,6,3,5,0,55,196
9,"09:53",9,9,9,9,8,5,6,7,3,8,3,7,6,4,0,42.5333333333333,67
9,"12:32",9,5,10,8,8,7,7,8,6,7,3,9,5,5,0,47.0833333333333,0
9,"14:04",7,4,9,9,9,5,7,7,4,7,4,6,7,5,0,88.3333333333333,65
9,"17:12",8,7,8,9,8,6,6,7,8,8,2,9,8,5,0,67.6003666666667,253
9,"19:20",8,7,10,4,4,4,5,4,6,6,4,8,7,5,36,126.287932432432,4546
10,"09:58",6,8,9,6,8,8,4,4,6,7,6,6,7,6,0,42.7241379310345,0
10,"11:39",7,9,8,8,8,3,5,4,5,10,4,9,3,3,8,85.0344827586207,1834
10,"14:06",7,9,9,9,7,6,7,6,6,10,3,9,3,7,0,72.3,391
11,"10:03",5,9,9,9,9,5,7,8,6,10,4,7,8,5,0,42.3,12
11,"11:59",6,8,6,4,8,7,8,10,7,8,3,8,6,4,11,63.8966810810811,2827
11,"13:52",8,9,9,10,7,10,8,10,7,10,2,10,10,6,0,62.0416666666667,372
11,"16:20",7,9,6,6,7,4,9,10,5,5,5,7,10,5,3,74.26235,1556
12,"10:05",8,8,8,8,8,8,9,10,6,9,2,9,10,6,0,41.6,54
12,"11:59",8,8,6,7,9,9,6,7,5,10,4,9,7,5,12,88.2014621212121,2986
12,"14:23",7,8,6,5,8,8,6,9,5,10,3,8,8,5,0,59.043572,13
12,"16:53",7,9,6,4,8,9,6,6,4,9,3,8,8,6,5,73.8620689655172,1773
13,"09:45",6,7,8,8,9,8,7,8,6,9,3,8,8,5,1,44.8378378378378,59
13,"13:55",9,10,8,8,9,9,9,10,7,10,1,8,10,7,1,64.875,253
13,"16:18",8,8,9,7,9,9,9,10,7,10,4,10,10,6,3,76.4559358974359,1143
14,"10:16",6,9,7,7,7,6,7,5,6,6,3,7,6,5,0,40.3566880952381,42
14,"14:17",8,9,9,9,8,4,7,6,7,7,3,7,6,6,0,61.9473684210526,74
15,"14:15",8,8,8,7,8,5,6,6,7,7,3,7,3,3,18,74.1445887755102,5236
15,"16:11",8,8,9,7,7,4,4,5,4,6,5,5,3,3,0,73.8404041666667,508
16,"10:46",8,7,8,8,4,4,6,9,5,7,5,8,4,4,0,46.553284,4
16,"12:46",7,7,6,5,5,4,5,6,5,3,6,5,6,3,0,48.9166666666667,22
16,"15:02",6,7,4,4,6,4,6,5,4,7,6,6,5,4,0,56,146
16,"16:03",7,7,8,8,8,6,8,5,3,5,6,6,5,4,0,71.4529875,411
16,"17:00",7,7,7,5,5,4,6,4,4,3,7,4,4,4,0,77.6249352941176,562
17,"09:40",8,7,5,5,6,6,4,4,5,6,5,6,4,3,0,47.7,36
17,"11:44",5,6,5,3,6,7,6,4,4,7,7,5,5,3,4,59.8780333333333,521
17,"15:51",7,7,8,7,8,5,5,3,3,8,5,7,3,5,0,71.3301212121212,910
18,"09:56",8,7,8,8,9,9,4,5,5,9,3,9,3,3,0,40.2105263157895,55
18,"11:59",9,8,9,7,10,9,5,9,6,10,3,10,5,7,9,58.2666666666667,2807
18,"13:40",6,8,8,7,8,5,7,9,6,9,4,9,9,7,1,68.125,765
18,"16:09",6,8,8,8,5,4,6,8,4,5,7,7,8,7,5,76.5070677419355,2112
19,"10:30",8,9,9,9,9,7,7,5,5,9,3,8,6,4,0,43.0990740740741,65
19,"13:52",6,8,8,7,7,4,6,4,5,7,5,7,2,2,0,61.7826086956522,23
19,"15:44",6,7,7,4,5,4,3,3,3,5,8,5,3,3,2,62.6030909090909,1936
20,"09:46",8,9,8,8,8,8,7,5,5,9,3,7,4,6,0,42.7666666666667,36
20,"11:57",7,8,5,7,8,7,5,3,4,7,3,8,2,3,11,73.5852441176471,3060
20,"15:13",6,8,7,4,7,5,4,3,4,7,6,5,2,3,0,59.5298,30
21,"09:43",7,8,7,5,5,5,4,4,4,4,7,5,2,3,0,42.7777777777778,9
21,"11:32",7,8,5,5,7,6,6,5,4,6,5,5,3,3,0,45.2624666666667,4
21,"13:16",7,8,8,8,8,7,5,7,4,9,2,9,4,7,9,86.0178571428571,3294
21,"15:13",6,9,7,7,8,7,5,7,5,10,2,7,3,5,0,59.0416666666667,164
22,"10:29",8,7,8,8,8,7,6,4,8,6,4,6,2,5,0,41.93945,0
23,"10:16",8,8,9,8,7,6,6,7,5,8,4,7,9,6,0,43.6916575757576,29
24,"11:03",6,6,7,7,6,4,7,4,6,5,4,6,6,6,0,41.4944393939394,30
24,"11:35",6,6,7,7,8,5,6,6,7,8,4,6,6,6,0,42.3684464285714,38
24,"13:58",6,10,9,9,9,8,3,5,5,8,7,8,7,7,8,83,3394
25,"09:35",8,9,8,9,9,9,5,6,5,9,1,8,2,7,0,41.2051282051282,0
25,"11:59",7,10,8,7,6,6,5,4,5,8,5,6,2,6,0,43.9417882352941,104
25,"13:45",6,9,5,4,7,7,5,4,6,9,6,7,2,7,11,83.875,2860
